Countries and areas,Under-five mortality rate  1990,Under-five mortality rate  2000,Under-five mortality rate 2021,Annual rate of reduction in under-five mortality rate 2000-2021,"Under-five mortality rate
2021 Male","Under-five mortality rate
2021 Female",Infant mortality rate 1990,Infant mortality rate 2021,Neonatal mortality rate 1990,Neonatal mortality rate 2000,Neonatal mortality rate 2021,Mortality rate among children aged 5–14 years 1990,Mortality rate among children aged 5–14 years 2021,Stillbirth rate 2000,Stillbirth rate 2021,Annual rate of reduction in stillbirth rate 2000-2021,Under-five deaths 2021,Neonatal deaths 2021,Neonatal deaths as a percentage of under-five deaths 2021,Deaths among children aged 5–14 years 2021,Stillbirths 2021
Mozambique,246,171,70,4.3,74,65,163,51,62,47,28,61,13,25,17,1.8,"79,353","32,279",41,"11,828","20,723"
Myanmar,115,89,42,3.6,46,38,82,34,48,37,22,29,4,20,15,1.6,"38,581","19,939",52,"3,763","13,579"
Namibia,73,77,39,3.2,43,35,49,29,28,24,19,14,13,18,17,0.2,"2,703","1,352",50,756,"1,222"
Nauru,67,43,28,2.1,30,25,51,23,32,26,18,12,6,14,12,0.9,10,6,60,2,4
Nepal,139,79,27,5.1,29,25,96,23,58,39,16,26,5,30,16,3.1,"16,392","9,853",60,"2,775","9,739"
Netherlands,8,6,4,2,4,4,7,4,5,4,3,2,1,5,2,4,713,482,68,133,402
New Zealand,11,7,5,2.1,5,4,9,4,4,4,3,3,1,4,3,1.6,297,162,55,67,167
Nicaragua,67,39,13,5.1,15,12,51,11,23,17,7,7,3,15,10,2.1,"1,868","1,036",55,447,"1,396"
Niger,332,229,115,3.3,119,111,134,60,55,44,34,64,33,26,21,0.9,"124,291","38,501",31,"25,100","25,078"
Nigeria,209,182,111,2.4,117,104,124,71,50,46,35,38,20,29,22,1.2,"852,298","276,463",32,"116,311","182,307"
Niue,25,32,24,1.4,27,22,21,20,13,17,13,5,5,13,10,1.2,1,0,0,0,0
North Macedonia,37,16,5,5.2,6,5,33,5,17,9,3,3,2,11,4,5,108,69,64,35,77
Norway,9,5,2,3.8,2,2,7,2,4,3,1,2,1,4,2,2.7,117,69,59,41,113
Oman,39,16,10,2.3,11,9,32,9,17,7,5,8,2,8,6,1.4,870,380,44,180,474
Pakistan,140,108,63,2.5,68,59,107,53,64,57,39,14,8,38,31,1,"399,429","251,307",63,"42,924","203,374"
Palau,35,28,16,2.7,18,14,30,15,19,15,9,7,4,10,7,1.6,4,2,50,0,2
Panama,31,26,14,3,15,12,26,12,18,15,8,5,3,12,8,2.1,"1,067",596,56,232,582
Papua New Guinea,85,71,43,2.4,46,39,62,34,32,30,21,14,8,18,15,0.9,"10,765","5,382",50,"1,839","3,811"
Paraguay,46,34,18,3,20,16,36,16,22,18,10,7,3,17,10,2.4,"2,512","1,335",53,332,"1,400"
Peru,80,38,14,4.7,15,13,57,11,28,16,7,10,2,14,7,3.5,"8,333","4,235",51,"1,475","3,962"
Philippines,57,38,26,1.8,28,23,40,20,19,17,12,8,5,14,10,1.5,"63,392","30,500",48,"10,575","25,531"
Poland,17,9,4,3.6,5,4,15,4,11,6,3,3,1,4,3,2.4,"1,614","1,005",62,376,941
Portugal,15,7,3,4,3,3,12,3,7,3,2,4,1,4,2,2.8,255,137,54,78,180
Qatar,21,12,5,4.1,6,5,18,5,11,7,3,4,1,7,3,4.1,152,88,58,37,73
Republic of Korea,16,8,3,4.6,3,3,13,2,7,3,1,4,1,3,2,2.8,860,400,47,341,505
Republic of Moldova,33,31,14,3.8,16,13,28,12,19,21,11,5,2,12,7,2.6,552,402,73,98,268
Romania,31,21,6,5.7,7,6,24,5,16,10,3,5,2,6,3,2.7,"1,281",632,49,341,665
Russian Federation,22,19,5,6.4,6,5,17,4,11,9,2,5,2,7,3,3.4,"7,347","2,857",39,"3,103","4,616"
Rwanda,150,185,39,7.4,43,36,92,30,41,44,18,62,15,28,17,2.5,"15,638","7,070",45,"5,184","6,876"
Saint Kitts and Nevis,30,24,15,2.3,16,13,25,12,19,17,10,5,3,11,8,1.7,9,6,67,2,5
Saint Lucia,22,18,25,-1.4,27,22,18,22,12,12,13,5,3,14,11,0.9,52,27,52,7,23
Saint Vincent and the Grenadines,24,22,14,2.3,15,12,20,13,13,13,8,4,5,10,12,-0.7,19,11,58,7,16
Samoa,30,21,17,1.1,18,15,25,14,13,9,7,5,2,9,8,1,99,39,39,13,46
San Marino,14,6,2,5.6,2,2,12,2,7,3,1,3,1,3,2,2.8,0,0,0,0,0
Sao Tome and Principe,109,82,15,8,17,14,69,12,26,22,8,22,3,16,9,2.8,97,48,49,19,56
Saudi Arabia,44,22,7,5.7,7,7,35,6,22,12,3,8,2,9,4,3.3,"4,350","2,060",47,"1,018","2,680"
Senegal,139,130,39,5.8,42,35,71,29,40,38,21,34,8,26,19,1.4,"20,831","11,590",56,"3,608","10,713"
Serbia,28,13,5,4,6,5,24,5,17,8,4,3,1,5,5,0.4,374,240,64,80,327
Seychelles,16,14,14,0,15,13,14,12,11,9,9,4,2,9,9,-0.3,23,14,61,4,15
Sierra Leone,261,226,105,3.7,111,98,155,78,52,48,31,42,25,33,23,1.7,"27,155","8,166",30,"5,444","6,254"
Singapore,8,4,2,2.9,2,2,6,2,4,2,1,2,1,3,2,2.2,87,32,37,29,79
Slovakia,15,10,6,2.6,6,5,13,5,9,5,3,3,1,4,3,1.2,312,152,49,69,168
Slovenia,10,5,2,4.4,2,2,9,2,6,3,1,2,1,4,3,1.6,42,24,57,15,49
Solomon Islands,38,31,19,2.3,20,17,31,16,15,13,8,7,4,12,9,1.4,393,160,41,73,196
Somalia,180,173,112,2.1,117,105,109,71,45,45,36,39,25,33,28,0.7,"79,723","26,719",34,"12,490","21,450"
South Africa,62,71,33,3.7,35,30,48,26,22,17,11,7,6,21,16,1.2,"38,868","12,979",33,"6,240","19,337"
South Sudan,251,182,99,2.9,104,94,149,64,64,56,40,54,22,31,26,0.9,"31,312","12,408",40,"7,502","8,312"
Spain,9,5,3,2.7,3,3,7,3,5,3,2,2,1,3,2,2,"1,089",637,58,322,776
Sri Lanka,23,17,7,4.3,7,6,19,6,14,10,4,6,2,11,6,2.7,"2,088","1,179",56,527,"1,849"
State of Palestine,45,30,15,3.4,16,13,36,13,23,17,9,5,3,14,9,1.8,"2,147","1,350",63,449,"1,377"
Sudan,132,104,55,3.1,60,50,82,39,43,37,27,26,8,28,22,1.1,"82,570","40,883",50,"9,027","34,499"
Suriname,45,31,17,2.9,19,15,39,15,21,17,11,5,4,14,11,1.2,190,119,63,42,123
Sweden,7,4,2,2.4,3,2,6,2,4,2,1,1,1,4,2,2,279,153,55,85,278
Switzerland,8,6,4,1.8,4,4,7,3,4,3,3,2,1,3,2,0.6,332,235,71,60,211
Syrian Arab Republic,37,23,22,0.2,24,20,30,18,17,12,11,10,5,12,11,0.4,"9,057","4,621",51,"2,432","4,615"
Tajikistan,103,84,31,4.7,35,27,81,28,31,28,14,8,2,14,9,2,"8,189","3,540",43,469,"2,403"
Thailand,37,22,8,4.6,9,7,30,7,21,12,5,6,4,10,5,2.7,"5,429","3,035",56,"3,357","3,531"
Timor-Leste,176,111,51,3.8,55,46,132,43,57,39,22,26,9,22,14,2,"1,653",733,44,290,481
Togo,148,120,63,3.1,68,57,91,43,44,37,24,33,12,27,21,1.3,"16,919","6,618",39,"2,600","5,872"
Tokelau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tonga,22,17,11,2,12,10,19,10,10,7,5,3,2,8,6,1.3,27,12,44,5,16
Trinidad and Tobago,30,28,16,2.6,18,15,27,15,20,18,10,4,2,12,9,1.5,294,184,63,44,157
Tunisia,55,30,16,2.9,18,15,43,14,28,18,12,7,3,15,11,1.7,"3,281","2,278",69,636,"2,097"
Türkiye,74,38,9,6.9,10,8,56,8,32,19,5,9,2,11,4,4.7,"11,390","5,883",52,"2,341","5,280"
Turkmenistan,79,70,41,2.5,47,35,65,36,27,30,23,7,4,11,9,0.8,"5,728","3,217",56,473,"1,309"
Turks and Caicos Islands,14,9,4,3.1,5,4,11,4,8,5,2,3,1,-,-,-,2,1,50,0,-
Tuvalu,53,42,21,3.3,23,19,41,18,28,24,10,10,5,15,9,2.4,6,3,50,1,2
Uganda,183,146,42,5.9,47,37,107,31,40,33,19,29,13,23,15,2,"69,025","32,037",46,"17,089","25,855"
Ukraine,19,18,8,3.8,9,7,16,7,12,11,5,4,2,7,5,1.7,"2,834","1,622",57,802,"1,669"
United Arab Emirates,17,11,6,2.7,7,6,14,5,8,6,3,4,2,8,5,2.8,618,337,55,148,454
United Kingdom,9,7,4,2.1,5,4,8,4,4,4,3,2,1,4,3,2.4,"2,864","1,893",66,585,"1,836"
United Republic of Tanzania,167,130,47,4.8,51,43,100,34,40,34,20,27,13,26,18,1.7,"105,694","46,050",44,"22,341","42,873"
United States,11,8,6,1.4,7,6,9,5,6,5,3,2,1,3,3,0.9,"23,162","12,169",53,"5,703","10,196"
Uruguay,23,17,6,5.1,6,5,20,5,12,8,4,3,1,7,5,2,211,143,68,70,173
Uzbekistan,70,61,14,6.9,16,12,58,13,30,28,8,7,3,12,6,3.4,"11,404","6,172",54,"2,043","4,740"
Vanuatu,36,29,23,1,25,21,30,20,17,12,10,7,5,12,11,0.5,216,93,43,40,101
Venezuela (Bolivarian Republic of),30,22,24,-0.6,26,22,25,21,13,11,15,4,4,10,11,-0.5,"11,322","6,779",60,"2,006","4,882"
Viet Nam,52,30,21,1.8,24,17,37,16,24,15,11,10,3,11,8,1.6,"30,455","15,404",51,"3,982","11,822"
Yemen,126,95,62,2,66,58,89,47,44,37,28,18,7,24,23,0.1,"61,914","28,554",46,"5,902","24,195"
Zambia,182,156,58,4.7,62,53,108,40,37,35,25,27,10,22,14,2.1,"37,822","16,492",44,"5,558","9,703"
Zimbabwe,80,96,50,3.2,54,45,51,36,23,28,25,13,11,23,19,0.8,"23,960","12,211",51,"4,684","9,711"
